loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),state(N)
2017-10-22 00:11:48.800 -0700,1,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656307.999839,37.77175784114541,-122.4190734700509,12.78598,0.16,-1,4,30,-9999,1508656308.735323,-18.76123046875,23.30340194702148,-27.04225158691406,49.38736343383789,35.8697395324707,15,59543.4073375,0.07373046875,-0.283172607421875,-0.9567413330078125,59543.39351550001,0.009114935146905201,0.1852659970246703,0.05766436181904971,59543.4042275,0.1080206493170073,0.09336109913081844,0.2595913756800914,-0.05859582498669624,0.1280863434076309,-0.03290876001119614,-0.004301837179809809,-0.01960525289177895,0.02849376387894154,XArbitraryCorrectedZVertical,0.1266041249036789,0.05318323895335197,0.05950259789824486,0.9887377619743347,0.09010200202465057,-0.2566856443881989,-0.9622858762741089,-18.4757137298584,23.84794425964355,-26.83339691162109,2,59542.3315015,unknown,0,2017-10-22 00:11:47.651 -0700,null,0,0,0,0,null,192.168.1.111,0.0.0.0,5,1,0.73,0
2017-10-22 00:11:48.805 -0700,2,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656307.999839,37.77175784114541,-122.4190734700509,12.78598,0.16,-1,4,30,-9999,1508656308.735323,-18.76123046875,23.30340194702148,-27.04225158691406,49.38736343383789,35.8697395324707,15,59543.4661625,0.09698486328125,-0.273162841796875,-0.99688720703125,59543.45775450001,0.09342502262052471,0.001970739206658636,0.09561014629493474,59543.4363315,0.1085727603179556,0.09251004358000388,0.2584781003171646,-0.01766735129058361,-0.05197067558765411,0.03898235037922859,0.02917513810098171,-0.004980111494660378,-0.05671724304556847,XArbitraryCorrectedZVertical,0.1260641068220139,0.05277085304260254,0.05970007926225662,0.9888169765472412,0.08930935710668564,-0.2556095123291016,-0.9626461267471313,-18.46965217590332,23.86787796020508,-26.8198413848877,2,59542.3315015,unknown,0,2017-10-22 00:11:47.651 -0700,null,0,0,0,0,null,192.168.1.111,0.0.0.0,5,1,0.73,0
2017-10-22 00:11:48.850 -0700,3,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656307.999839,37.77175784114541,-122.4190734700509,12.78598,0.16,-1,4,30,-9999,1508656308.790467,-18.615966796875,23.74071884155273,-26.90190124511719,48.89178466796875,35.37416076660156,15,59543.5250125,0.0967559814453125,-0.26641845703125,-0.9866790771484375,59543.5219635,0.0171542195295274,-0.06601683394586523,0.1060595914640786,59543.5005565,0.1103936782910682,0.09348697736531958,0.2569182165174507,-0.10445287078619,-0.0226309709250927,0.02920730039477348,-0.007248537614941597,-0.01634565554559231,-0.01151778921484947,XArbitraryCorrectedZVertical,0.1252146810293198,0.05333063006401062,0.06063131615519524,0.9888381958007812,0.09028686583042145,-0.2541011273860931,-0.9629542827606201,-18.39374160766602,23.94985198974609,-26.79892730712891,2,59542.3315015,unknown,0,2017-10-22 00:11:47.651 -0700,null,0,0,0,0,null,192.168.1.111,0.0.0.0,5,1,0.73,0
2017-10-22 00:11:48.917 -0700,4,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656307.999839,37.77175784114541,-122.4190734700509,12.78598,0.16,-1,4,30,-9999,1508656308.910139,-18.15374755859375,23.35641098022461,-26.8636474609375,48.46917343139648,34.9515495300293,15,59543.58384950001,0.080963134765625,-0.25653076171875,-1.013809204101562,59543.5540985,0.09560109154722846,0.02483983611938707,0.08662304288035333,59543.56480750001,0.1123391869049187,0.09094159666282781,0.2541112925487081,0.005219674203544855,0.02771902829408646,0.005825885571539402,-0.01200270652770996,-0.005664223805069923,-0.05227160826325417,XArbitraryCorrectedZVertical,0.1238521859049797,0.05212400481104851,0.06138069555163383,0.9890278577804565,0.08789991587400436,-0.2513853311538696,-0.9638874530792236,-18.4018497467041,24.06743812561035,-26.68778610229492,2,59543.56370950001,stationary,0,2017-10-22 00:11:48.883 -0700,null,0,0,0,0,null,192.168.1.111,0.0.0.0,5,1,0.73,0
2017-10-22 00:11:48.968 -0700,5,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656307.999839,37.77175784114541,-122.4190734700509,12.78598,0.16,-1,4,30,-9999,1508656308.910139,-18.15374755859375,23.35641098022461,-26.8636474609375,48.46917343139648,34.9515495300293,15,59543.6426565,0.0768280029296875,-0.2648773193359375,-1.0009765625,59543.6183155,0.0969132310163105,-0.04610038373370764,0.07635229582035374,59543.6290355,0.1129965292324891,0.08884458551116926,0.2537016311692857,0.01861601695418358,-0.01065005641430616,0.001632458879612386,0.006901119835674763,-0.01089778263121843,-0.04832479730248451,XArbitraryCorrectedZVertical,0.1236969530582428,0.05111738666892052,0.06156833469867706,0.9890881776809692,0.08588757365942001,-0.2509888112545013,-0.9641721248626709,-18.44511795043945,24.10265922546387,-26.62606048583984,2,59543.56370950001,stationary,0,2017-10-22 00:11:48.883 -0700,null,0,0,0,0,null,192.168.1.111,0.0.0.0,5,1,0.73,0
2017-10-22 00:11:49.027 -0700,6,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656307.999839,37.77175784114541,-122.4190734700509,12.78598,0.16,-1,4,30,-9999,1508656308.973877,-18.21977233886719,23.89973831176758,-26.72331237792969,48.46322631835938,34.94560241699219,15,59543.7014955,0.096954345703125,-0.262054443359375,-0.991363525390625,59543.6825475,0.04994146097392893,-0.05130872787757561,0.09660323906542528,59543.6932595,0.1137672033777261,0.08773017421673585,0.253366438796124,-0.04065679386258125,-0.04121662303805351,0.03442532196640968,0.01155411172658205,-0.009513277560472488,-0.02165666967630386,XArbitraryCorrectedZVertical,0.1235458701848984,0.0506054125726223,0.06187446415424347,0.9891142845153809,0.08482040464878082,-0.2506643235683441,-0.9643509984016418,-18.45911026000977,24.11947250366211,-26.60112762451172,2,59543.56370950001,stationary,0,2017-10-22 00:11:48.883 -0700,null,0,0,0,0,null,192.168.1.111,0.0.0.0,5,1,0.73,0
2017-10-22 00:11:49.086 -0700,7,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656307.999839,37.77175784114541,-122.4190734700509,12.78598,0.16,-1,4,30,-9999,1508656309.029213,-18.28579711914062,24.39006042480469,-26.78707885742188,48.432861328125,34.91523742675781,15,59543.7603335,0.0664520263671875,-0.241973876953125,-1.000457763671875,59543.74678650001,0.1054135085836254,-0.01716220901279764,0.04995477677937932,59543.75746850001,0.113740310677854,0.08612447150060469,0.2533252545287398,0.04178950935602188,-0.02234024927020073,-0.02407510578632355,-0.01305177435278893,0.008330155164003372,-0.04270588979125023,XArbitraryCorrectedZVertical,0.1235757917165756,0.0498085729777813,0.06176122277975082,0.9891580939292908,0.08327272534370422,-0.2506244778633118,-0.9644962549209595,-18.49102783203125,24.13278198242188,-26.56686782836914,2,59543.56370950001,stationary,0,2017-10-22 00:11:48.883 -0700,null,0,0,0,0,null,192.168.1.111,0.0.0.0,5,1,0.73,0
2017-10-22 00:11:49.154 -0700,8,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656307.999839,37.77175784114541,-122.4190734700509,12.78598,0.16,-1,4,30,-9999,1508656309.148663,-18.48388671875,23.87323379516602,-26.67228698730469,48.37864685058594,34.86102294921875,15,59543.8191395,0.093780517578125,-0.27294921875,-0.965545654296875,59543.8109955,0.02733095700304719,0.009835586537880643,0.08532235500395863,59543.7896035,0.1136909230486663,0.08598519341138909,0.2539592046615757,0.0169095229357481,0.006304641254246235,0.02741221711039543,0.01094570383429527,-0.004819606896489859,-0.03555909171700478,XArbitraryCorrectedZVertical,0.1238950565457344,0.04975276812911034,0.06173941120505333,0.9891222715377808,0.08312472701072693,-0.2512381374835968,-0.9643493294715881,-18.51292610168457,24.10735702514648,-26.57469940185547,2,59543.56370950001,stationary,0,2017-10-22 00:11:48.883 -0700,null,0,0,0,0,null,192.168.1.111,0.0.0.0,5,1,0.73,0
2017-10-22 00:11:49.203 -0700,9,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656307.999839,37.77175784114541,-122.4190734700509,12.78598,0.16,-1,4,30,-9999,1508656309.148663,-18.48388671875,23.87323379516602,-26.67228698730469,48.37864685058594,34.86102294921875,15,59543.8779785,0.09942626953125,-0.2539520263671875,-1.029327392578125,59543.8752315,0.153393551414711,-0.0155645786748591,0.09590788770480559,59543.8538095,0.1142762913116059,0.0857356949447924,0.2532859135012009,0.03646376356482506,-0.02118853665888309,0.0232116337865591,-0.009198633022606373,-0.0006190640851855278,-0.03938312828540802,XArbitraryCorrectedZVertical,0.123555026948452,0.04964840412139893,0.06200159341096878,0.9891536831855774,0.0828985869884491,-0.2505863904953003,-0.9645383954048157,-18.48289489746094,24.13092041015625,-26.57421684265137,2,59543.56370950001,stationary,0,2017-10-22 00:11:48.883 -0700,null,0,0,0,0,null,192.168.1.111,0.0.0.0,5,1,0.73,0
2017-10-22 00:11:49.262 -0700,10,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656307.999839,37.77175784114541,-122.4190734700509,12.78598,0.16,-1,4,30,-9999,1508656309.208337,-18.52348327636719,23.64794540405273,-26.71055603027344,48.3942756652832,34.87665176391602,15,59543.9367855,0.082000732421875,-0.26043701171875,-0.9891204833984375,59543.90733450001,0.04388649791952477,0.01358664893325725,0.06067985912134644,59543.9180515,0.1151328287654497,0.08350753910464057,0.2538583064431568,-0.0563022755086422,-0.009864493273198605,-0.005312380846589804,-0.02101436629891396,-0.006870382931083441,-0.01138980407267809,XArbitraryCorrectedZVertical,0.1238864958286285,0.04861413314938545,0.06229729950428009,0.9891449809074402,0.08073726296424866,-0.2511404752731323,-0.9645776152610779,-18.50680732727051,24.12316131591797,-26.56461715698242,2,59543.87620950001,unknown,1,2017-10-22 00:11:49.196 -0700,null,0,0,0,0,null,192.168.1.111,0.0.0.0,5,1,0.73,0
