8.2600000000E+0,5.0876377598E-1
8.2620000000E+0,5.0563993131E-1
8.2640000000E+0,5.0302576654E-1
8.2660000000E+0,4.9926399989E-1
8.2680000000E+0,4.9117159801E-1
8.2700000000E+0,4.8024471805E-1
8.2720000000E+0,4.6110048227E-1
8.2740000000E+0,4.2130927646E-1
8.2760000000E+0,3.5899350441E-1
8.2780000000E+0,2.8472491358E-1
8.2800000000E+0,2.0126892808E-1
8.2820000000E+0,1.2406720711E-1
8.2840000000E+0,7.1675391644E-2
8.2860000000E+0,3.8858575966E-2
8.2880000000E+0,2.0256899867E-2
8.2900000000E+0,1.3058902852E-2
8.2920000000E+0,8.9617332337E-3
8.2940000000E+0,8.6427721973E-3
8.2960000000E+0,4.1411468303E-3
8.2980000000E+0,7.8601667677E-3
