8.2700000000E+0,5.0590956842E-1
8.2720000000E+0,5.0549853622E-1
8.2740000000E+0,5.0158222148E-1
8.2760000000E+0,4.9959282566E-1
8.2780000000E+0,4.9226658779E-1
8.2800000000E+0,4.8587750331E-1
8.2820000000E+0,4.7384905703E-1
8.2840000000E+0,4.4895037033E-1
8.2860000000E+0,3.9071861509E-1
8.2880000000E+0,3.0998531029E-1
8.2900000000E+0,2.1970619033E-1
8.2920000000E+0,1.3652312848E-1
8.2940000000E+0,8.0846343394E-2
8.2960000000E+0,4.3327318723E-2
8.2980000000E+0,2.4225827409E-2
8.3000000000E+0,1.2263144392E-2
8.3020000000E+0,7.6201239237E-3
8.3040000000E+0,6.7651768107E-3
8.3060000000E+0,5.7293755024E-3
8.3080000000E+0,4.4009192202E-3
